club,last_name,first_name,position,base_salary,guaranteed_compensation
New England Revolution,Albright,Chris,D,176000.0,176000.0
Real Salt Lake,Alexandre,Jean,M,34000.0,34000.0
DC United,Allen,Ely,F-M,15300.0,15300.0
Seattle Sounders FC,Alonso,Osvaldo,M,65000.0,65000.0
New England Revolution,Alston,Kevin,D,55000.0,104000.0
San Jose Earthquakes,Alvarez,Arturo,M-F,174750.0,184087.5
San Jose Earthquakes,Amarikwa,Quincy,F,34000.0,34000.0
New York Red Bulls,Angel,Juan Pablo,F,1500000.0,1798000.0
Sporting Kansas City,Arnaud,Davy,M,220000.0,228750.0
Houston Dynamo,Ashe,Corey,M,34650.0,34650.0
Toronto FC,Attakora-Gyan,Nana,D,34000.0,34000.0
FC Dallas,Avila,Eric,M,70000.0,103000.0
New England Revolution,Badilla,Gabriel,D,138000.0,138000.0
Colorado Rapids,Ballouchy,Mehdi,M,100000.0,118000.0
Chicago Fire,Banner,Michael,D,34000.0,34000.0
DC United,Barklage,Brandon,M-F,20100.0,20100.0
New England Revolution,Barnes,Darrius,D,34008.0,34008.0
Houston Dynamo,Barrett,Wade,D,154000.0,156500.0
Toronto FC,Barrett,Chad,F,195000.0,202500.0
Colorado Rapids,Baudet,Julien,D,156000.0,169750.0
Real Salt Lake,Beckerman,Kyle,M,160650.0,163150.0
LA Galaxy,Beckham,David,M,5500000.08,6500000.04
Real Salt Lake,Beltran,Anthony,D,70000.0,105500.0
Pool,Benitez,Miguel,GK,34000.0,34000.0
FC Dallas,Benitez,Jair,D,36000.0,36000.0
LA Galaxy,Berhalter,Gregg,D,144000.0,162750.0
Sporting Kansas City,Besler,Matt,D,36000.0,47250.0
LA Galaxy,Birchall,Chris,M,84000.0,97125.0
Chicago Fire,Blanco,Cuauhtemoc,M,2769240.0,2943702.0
Real Salt Lake,Borchers,Nat,D,130000.0,137500.0
New York Red Bulls,Borman,Danleigh,D-M,20100.0,20100.0
CHV,Bornstein,Jonathan,D,90000.0,90000.0
Seattle Sounders FC,Boss,Terry,GK,36000.0,38500.0
Houston Dynamo,Boswell,Robert,D,150000.0,150000.0
LA Galaxy,Bowen,Tristan,F,65000.0,96363.63
New York Red Bulls,Boyens,Andrew,D,49550.0,52050.0
CHV,Braun,Justin,F,20100.0,20100.0
Toronto FC,Brennan,Jim,D,185000.0,193250.0
Seattle Sounders FC,Brown,Evan,D,20100.0,20100.0
Chicago Fire,Brown,C.J.,D,91200.0,96000.0
Columbus Crew,Brunner,Eric,D,34008.0,34008.0
LA Galaxy,Buddle,Edson,F,169950.0,179950.0
DC United,Burch,Marc,D,60000.0,62500.0
San Jose Earthquakes,Burling,Bobby,D,34000.0,34000.0
Columbus Crew,Burns,Kevin,M,20100.0,20100.0
Colorado Rapids,Burpo,Preston,GK,57871.99,57871.99
FC Dallas,Burse,Ray,GK,34650.0,34650.0
