club,last_name,first_name,position,base_salary,guaranteed_compensation
Vancouver Whitecaps,Abdallah,Aminu,M,46500.0,46500.0
FC Dallas,Acosta,Kellyn,M,46500.0,70500.0
Vancouver Whitecaps,Adekugbe,Samuel,D,46500.0,51500.0
Toronto FC,Agbossoumonde,Gale,D,46500.0,53166.67
New England Revolution,Agudelo,Juan,F,145000.0,175000.0
New York Red Bulls,Akpan,Andre,F,67595.0,67595.0
San Jose Earthquakes,Alas,Jaime,M,90000.0,91250.0
Philadelphia Union,Albright,Chris,D,75000.0,75000.0
Vancouver Whitecaps,Alderson,Bryce,M,65000.0,80000.0
Chicago Fire,Alex,,M,110000.0,119950.0
New York Red Bulls,Alexander,Eric,M,70867.5,70867.5
Portland Timbers,Alhassan,Kalif,M,80000.0,89250.0
Seattle Sounders FC,Alonso,Osvaldo,M,210000.0,210000.0
New England Revolution,Alston,Kevin,D,145000.0,194000.0
CHV,Alvarez,Carlos,M,46500.0,81500.0
Real Salt Lake,Alvarez,Yordany,M,46500.0,46500.0
Chicago Fire,Amarikwa,Quincy,F,46500.0,46500.0
Chicago Fire,Anangono,Juan Luis,F,120000.0,120000.0
Philadelphia Union,Anding,Don,F,35125.0,35125.0
Chicago Fire,Anibaba,Jalil,D,91245.0,131245.0
Columbus Crew,Anor,Bernardo,M,46500.0,46500.0
CHV,Antunez,Daniel,M,65000.0,72500.0
Toronto FC,Aparicio,Manuel,M,35125.0,35125.0
,Araujo Jr.,Paulo,F,60000.0,60000.0
Houston Dynamo,Arena,Anthony,D,35125.0,35125.0
Colorado Rapids,Armstrong,David,M,46500.0,55964.29
Montreal Impact,Arnaud,Davy,M,275000.0,290000.0
Columbus Crew,Arrieta,Jairo,F,216000.0,225375.0
Houston Dynamo,Ashe,Corey,M,101250.0,105750.0
Chicago Fire,Atouba,Yazid,F,46500.0,51500.0
San Jose Earthquakes,Attakora,Nana,D,61665.0,61665.0
Real Salt Lake,Attinella,Jeff,GK,46500.0,46500.0
CHV,Avila,Eric,M,100000.0,120000.0
San Jose Earthquakes,Baca,Rafael,M,49500.0,49500.0
FC Dallas,Baladez,Bradlee,F,35125.0,36125.0
Real Salt Lake,Balchan,Rich,D,35125.0,35125.0
San Jose Earthquakes,Ballouchy,Mehdi,M,152006.0,152006.0
New York Red Bulls,Barklage,Brandon,M,65000.0,71428.54
New England Revolution,Barnes,Darrius,D,71467.0,72717.0
Houston Dynamo,Barnes,Giles,M,175000.0,184187.5
Chicago Fire,Barouch,Orr,F,46500.0,46500.0
New England Revolution,Barrett,Chad,F,105000.0,110709.17
Columbus Crew,Barson,Chad,D,46500.0,46500.0
Seattle Sounders FC,Bates,Will,F,35125.0,35125.0
