club,last_name,first_name,position,base_salary,guaranteed_compensation
Colorado Rapids,Ababio,Eddie,D,32604.0,32604.0
Philadelphia Union,Adu,Freddy,M,475884.0,594884.0
Real Salt Lake,Agorsor,Christopher,F,32604.0,32604.0
New York Red Bulls,Agudelo,Juan,F,55000.0,85000.0
Sporting Kansas City,Aiyegbusi,Olukorede,D,42000.0,42000.0
Vancouver Whitecaps,Akloul,Mouloud,D,150000.0,150000.0
Colorado Rapids,Akpan,Andre,F,48000.0,48000.0
New York Red Bulls,Albright,Chris,D,100800.0,104133.33
Portland Timbers,Alexander,Eric,M,46750.0,46750.0
Real Salt Lake,Alexandre,Jean,M,42000.0,42000.0
Portland Timbers,Alhassan,Kalif,M,60000.0,69250.0
Seattle Sounders FC,Alonso,Osvaldo,M,140000.0,140000.0
New England Revolution,Alston,Kevin,D,100000.0,149000.0
LA Galaxy,Alvarado,Sean,D,32604.0,32604.0
Real Salt Lake,Alvarez,Arturo,M-F,192585.0,201922.5
Colorado Rapids,Amarikwa,Quincy,F,42000.0,42000.0
San Jose Earthquakes,Ampaipitakwong,Anthony,M,32600.04,32600.04
CHV,Angel,Juan Pablo,F,1000000.0,1250000.0
Chicago Fire,Anibaba,Jalil,D,42000.0,82000.0
Columbus Crew,Anor,Bernardo,M,42000.0,42000.0
Real Salt Lake,Araujo Jr.,Paulo,F,42000.0,42000.0
CHV,Arias,Sergio,GK,45000.0,45000.0
Colorado Rapids,Armstrong,David,M,42000.0,51464.29
Sporting Kansas City,Arnaud,Davy,M,250000.0,258750.0
Real Salt Lake,Arnoux,Cody,F,65400.0,71650.0
Houston Dynamo,Ashe,Corey,M,80000.0,84500.0
San Jose Earthquakes,Attakora-Gyan,Nana,D,45000.0,45000.0
New York Red Bulls,Auvray,Stephane,M,60000.0,80000.0
Toronto FC,Avila,Eric,M,100000.0,133000.0
San Jose Earthquakes,Baca,Rafael,M,32600.0,32600.0
Columbus Crew,Balchan,Rich,D,42000.0,58875.0
New York Red Bulls,Ballouchy,Mehdi,M,125625.0,125625.0
Chicago Fire,Banner,Michael,D,42000.0,42000.0
DC United,Barklage,Brandon,M,42000.0,43566.67
New England Revolution,Barnes,Darrius,D,60500.0,61750.0
Chicago Fire,Barouch,Orr,F,32600.0,32600.0
LA Galaxy,Barrett,Chad,F,192000.0,225333.33
Real Salt Lake,Beckerman,Kyle,M,219996.0,231246.0
LA Galaxy,Beckham,David,M,5500000.08,6500000.04
San Jose Earthquakes,Beitashour,Steven,D,42000.0,42000.0
Real Salt Lake,Beltran,Anthony,D,100000.0,135500.0
FC Dallas,Benitez,Jair,D,150000.0,171250.0
LA Galaxy,Berhalter,Gregg,D,96000.0,96000.0
Sporting Kansas City,Besler,Matt,D,58410.0,69660.0
San Jose Earthquakes,Bingham,David,GK,60000.0,99500.0
LA Galaxy,Birchall,Chris,M,144000.0,157125.0
New England Revolution,Boggs,Zak,F-M,42000.0,42000.0
Chicago Fire,Bone,Corben,M,90000.0,151200.0
Real Salt Lake,Borchers,Nat,D,159996.0,169058.5
Toronto FC,Borman,Danleigh,M,42000.0,42000.0
DC United,Boskovic,Branko,M,389166.67,525366.67
Seattle Sounders FC,Boss,Terry,GK,42000.0,44500.0
Houston Dynamo,Boswell,Bobby,D,210000.0,210000.0
Toronto FC,Bouchiba,Elbekay,M,92004.0,92004.0
CHV,Bowen,Tristan,F,75000.0,106363.63
Vancouver Whitecaps,Boxall,Michael,D,42000.0,42000.0
CHV,Boyens,Andrew,D,60000.0,60000.0
CHV,Braun,Justin,F,85000.0,87500.0
Portland Timbers,Braun,Frederick,M,32600.04,32600.04
Sporting Kansas City,Bravo,Omar,F,120000.0,170000.0
DC United,Brettschneider,Blake,F,42000.0,42000.0
Vancouver Whitecaps,Brovsky,Jeb,M,42000.0,42000.0
Portland Timbers,Brown,Adin,GK,72000.0,76000.0
Houston Dynamo,Bruin,Will,F,80000.0,125000.0
Portland Timbers,Brunner,Eric,D,70000.0,74250.0
Sporting Kansas City,Bunbury,Teal,F,85000.0,183000.0
DC United,Burch,Marc,D,95000.0,97500.0
San Jose Earthquakes,Burling,Bobby,D,42000.0,42000.0
Columbus Crew,Burns,Kevin,M,42000.0,42000.0
San Jose Earthquakes,Busch,Jon,GK,145000.0,151800.0
Philadelphia Union,Califf,Danny,D,250000.0,250000.0
Houston Dynamo,Camargo,Luiz,M,168000.0,178000.0
Houston Dynamo,Cameron,Geoff,M,220000.0,245000.0
Toronto FC,Cann,Adrian,D,123996.0,132746.0
Vancouver Whitecaps,Cannon,Joe,GK,199500.0,209756.25
New England Revolution,Caraglio,Milton,F,54000.0,54000.0
LA Galaxy,Cardozo,Paolo,M,42000.0,53250.0
Houston Dynamo,Carr,Calen,F,74813.0,79063.0
Seattle Sounders FC,Carrasco,Servando,M,42000.0,42000.0
Philadelphia Union,Carroll,Brian,M,160000.0,160000.0
Colorado Rapids,Casey,Conor,F,400000.0,400000.0
FC Dallas,Castillo,Fabian,F,42000.0,42000.0
Sporting Kansas City,Cesar,Julio,D,210000.0,213750.0
Colorado Rapids,Ceus,Steward,GK,42000.0,42000.0
Portland Timbers,Chabala,Michael,M,67500.0,75833.33
Portland Timbers,Chara,Diego,M,100008.0,143758.0
Chicago Fire,Chaves,Diego,F,45000.0,45000.0
FC Dallas,Chavez,Marvin,M,50000.0,50000.0
CHV,Chijindu,Chukwudi,M,42000.0,42000.0
Houston Dynamo,Ching,Brian,F,375000.0,412500.0
New York Red Bulls,Chirgadze,Giorgi,F,42000.0,42000.0
Vancouver Whitecaps,Chiumiento,Davide,M/F,280000.0,280000.0
Houston Dynamo,Clark,Colin,M,93713.0,98713.0
New England Revolution,Cochrane,Ryan,D,70000.0,71666.67
Sporting Kansas City,Collin,Aurelien,D,185004.0,191254.0
Colorado Rapids,Comminges,Miguel,D,42000.0,42000.0
San Jose Earthquakes,Convey,Bobby,M,313500.0,336000.0
Chicago Fire,Conway,Jon,GK,70000.0,79833.33
Portland Timbers,Cooper,Kenny,F,250000.0,267500.0
Toronto FC,Cordon,Oscar,M,32604.0,32604.0
New England Revolution,Coria,Franco,D,100000.0,105000.0
San Jose Earthquakes,Corrales,Ramiro,M,165000.0,175625.0
CHV,Cortez,Chris,F,32604.0,32604.0
Houston Dynamo,Costly,Carlo,F,335000.04,425583.37
New York Red Bulls,Coundoul,Bouna,GK,178250.0,179500.0
CHV,Courtois,Laurent,M,60000.0,206000.0
