club,last_name,first_name,position,base_salary,guaranteed_compensation
Atlanta United,Almiron,Miguel,M,1912500.0,2297000.0
Atlanta United,Ambrose,Mikey,D,65625.0,65625.0
Atlanta United,Asad,Yamil,M,150000.0,150000.0
Atlanta United,Bloom,Mark,D,99225.0,106573.89
Atlanta United,Carleton,Andrew,F,65000.0,77400.0
Atlanta United,Carmona,Carlos,M,675000.0,725000.0
Atlanta United,Garza,Greg,D,150000.0,150000.0
Atlanta United,Gonzalez Pirez,Leandro,D,250008.0,285008.0
Atlanta United,Goslin,Chris,M,70000.0,74000.0
Atlanta United,Gressel,Julian,M,75000.0,93750.0
Atlanta United,Heath,Harrison,M,66150.0,66150.0
Atlanta United,Jones,Kenwyne,F,390000.0,413333.33
Atlanta United,Kann,Alec,GK,77004.0,77004.0
Atlanta United,Kratz,Kevin,M,150000.0,164250.0
Atlanta United,Larentowicz,Jeff,M,175008.0,175008.0
Atlanta United,Loyd,Zach,D,85008.0,85008.0
Atlanta United,Martinez,Josef,F,924000.0,1041310.0
Atlanta United,McCann,Chris,M,540000.0,568000.0
Atlanta United,Mears,Tyrone,D,183756.0,183756.0
Atlanta United,Oblitey Otoo,Jeffrey,M-F,53000.0,53000.0
Atlanta United,Parkhurst,Michael,D,325008.0,325008.0
Atlanta United,Peterson,Jacob,F,165300.0,165300.0
Atlanta United,Reynish,Kyle,GK,65004.0,65004.0
Atlanta United,Robinson,Miles,D,125000.04,195000.04
Atlanta United,Rochez,Bryan,F,200000.0,279500.0
Atlanta United,Tambakis,Alexander,GK,65004.0,65004.0
Atlanta United,Vazquez,Brandon,F,100008.0,120008.0
Atlanta United,Villalba,Hector,F,663000.0,770750.0
Atlanta United,Walkes,Anton,D,53004.0,53004.0
Atlanta United,Wheeler-Omiunu,Andrew,M,53004.0,53004.0
Atlanta United,Williams,Romario,F,65000.0,65000.0
Chicago Fire,Accam,David,F-M,750000.0,820937.5
Chicago Fire,Alvarez,Arturo,M,135000.0,142500.0
Chicago Fire,Arshakyan,David,F,156000.0,178850.0
Chicago Fire,Bronico,Brandt,M,65004.0,65004.0
Chicago Fire,Calistri,Joey,M,54075.0,54075.0
Chicago Fire,Campbell,Jonathan,D,101750.0,109875.0
Chicago Fire,Cleveland,Stefan,GK,53004.0,53004.0
Chicago Fire,Conner,Drew,M,65625.0,65625.0
Chicago Fire,De Leeuw,Michael,F,500000.0,564212.5
Chicago Fire,Dekovic,Matej,D,65004.0,65004.0
Chicago Fire,Doody,Patrick,D,65000.0,65000.0
Chicago Fire,Fernandez,Collin,M,85000.0,87000.0
Chicago Fire,Goossens,John,M,230000.0,233333.33
