club,last_name,first_name,position,base_salary,guaranteed_compensation
New York Red Bulls,Abang,Anatole,F,50000.0,50000.0
Sporting Kansas City,Abdul-Salaam,Saad,D,60000.0,73750.0
Chicago Fire,Accam,David,F,650000.0,720937.5
FC Dallas,Acosta,Kellyn,M,60000.0,84000.0
Vancouver Whitecaps,Adekugbe,Samuel,D,60000.0,65000.0
Portland Timbers,Adi,Fanendo,F,651500.0,664000.0
Columbus Crew,Afful,Harrison,D,150000.0,150000.0
New England Revolution,Agudelo,Juan,F,400000.0,427500.0
DC United,Aguilar,Miguel,M,60000.0,60000.0
FC Dallas,Akindele,Tesho,F,70000.0,87500.0
San Jose Earthquakes,Alashe,Fatai,M,60000.0,76250.0
Houston Dynamo,Alex,,M,142000.0,142000.0
Montreal Impact,Alexander,Eric,M,140000.0,153750.0
Real Salt Lake,Allen,Jordan,M/F,80000.0,90000.0
New York City FC,Allen,RJ,D,60000.0,60000.0
Seattle Sounders FC,Alonso,Osvaldo,M,748000.0,789667.0
New England Revolution,Alston,Kevin,D,140000.0,158333.33
Toronto FC,Altidore,Jozy,F,4750000.0,4750000.0
Colorado Rapids,Alvarez,Carlos,M,70000.0,70000.0
New York City FC,Alvarez,Pablo,M,60000.0,63045.09
San Jose Earthquakes,Amarikwa,Quincy,F,100000.0,100000.0
Sporting Kansas City,Anibaba,Jalil,D,120000.0,150000.0
Sporting Kansas City,Anor,Bernardo,M,135000.0,135000.0
Toronto FC,Aparicio,Manuel,M,60000.0,60000.0
Philadelphia Union,Aristeguieta,Fernando,F,350004.0,350004.0
DC United,Arnaud,Davy,M,212500.0,212500.0
DC United,Arrieta,Jairo,F,150000.0,165000.0
Orlando City SC,Ashe,Corey,M,180000.0,189750.0
Portland Timbers,Asprilla,Dairon,F,60000.0,60000.0
Real Salt Lake,Attinella,Jeff,GK,60000.0,65083.33
Orlando City SC,Avila,Eric,M,72000.0,77000.0
Philadelphia Union,Ayuk,Eric,M,50000.0,50000.0
Seattle Sounders FC,Azira,Michael,D,60000.0,62826.88
Colorado Rapids,Badji,Dominique,F,50000.0,50000.0
New York City FC,Ballouchy,Mehdi,M,68250.0,83250.0
New England Revolution,Barnes,Darrius,D,95000.0,101666.67
Houston Dynamo,Barnes,Giles,M,247500.0,258375.0
Philadelphia Union,Barnetta,Tranquillo,M,624000.0,661500.0
San Jose Earthquakes,Barrera,Leandro,F,60000.0,60000.0
Seattle Sounders FC,Barrett,Chad,F,95000.0,100000.0
FC Dallas,Barrios,Michael,M,60000.0,60000.0
Columbus Crew,Barson,Chad,D,60000.0,60000.0
Houston Dynamo,Beasley,DaMarcus,D,750000.0,813333.33
Real Salt Lake,Beckerman,Kyle,M,625000.0,700000.0
Orlando City SC,Bedell,Adam,F,60000.0,60000.0
Seattle Sounders FC,Bedinelli,Thomas,M,108000.0,133125.0
Vancouver Whitecaps,Beitashour,Steven,D,190000.0,197166.67
