club,last_name,first_name,position,base_salary,guaranteed_compensation
New York Red Bulls,Leitch,Chris,D,60000.0,60000.0
Columbus Crew,Lenhart,Steven,F,12900.0,12900.0
LA Galaxy,Lewis,Eddie,M,108000.0,113714.29
San Jose Earthquakes,Lima,Francisco,M,195000.0,207000.0
Sporting Kansas City,Lopez,Claudio,F,720000.0,820000.0
Chicago Fire,Lowry,Peter,M,12900.0,12900.0
New York Red Bulls,Magee,Mike,F,64637.19,65637.19
New England Revolution,Mansally,Abdoulie,F,33000.0,33000.0
New England Revolution,Manzonelli,Brandon,M,12900.0,12900.0
Chicago Fire,Mapp,Justin,M,165000.0,200000.0
Sporting Kansas City,Marinelli,Carlos,M,115000.0,115000.0
Chicago Fire,Marmol,Lidor,M,96000.0,109750.0
Sporting Kansas City,Marquess,Matt,D,12900.0,12900.0
CHV,Marsch,Jesse,M,150000.0,159375.0
Columbus Crew,Marshall,Chad,D,125000.0,148000.0
Toronto FC,Marshall,Tyrone,D,150000.0,153750.0
DC United,Martinez,Gonzalo,D,228000.0,244750.0
Colorado Rapids,Mastroeni,Pablo,M,300000.0,318000.0
Real Salt Lake,Mathis,Clint,M,99999.96,99999.96
CHV,Mayen,Gerson,M,12900.0,12900.0
New York Red Bulls,M'Buta,Andongcho,M,12900.0,12900.0
Chicago Fire,McBride,Brian,F,163999.92,189333.25
FC Dallas,McCarty,Dax,M,45500.0,58000.0
LA Galaxy,McDonald,Brandon,M,17700.0,17700.0
Sporting Kansas City,McKenzie,Rauwshan,D,12900.0,12900.0
Colorado Rapids,McManus,Tom,F,134400.0,140462.5
DC United,McTavish,Devon,D,33000.0,33000.0
DC United,Mediate,Domenic,M,33000.0,33000.0
Toronto FC,Melo,Joey,M,12900.0,12900.0
New York Red Bulls,Mendes,Carlos,D,70986.56,70986.56
CHV,Mendoza,Francisco,M,105000.0,105000.0
Columbus Crew,Miglioranzi,Stefani,M,76200.0,84200.0
DC United,Miller,Ryan,D,12900.0,12900.0
Columbus Crew,Moffat,Adam,M,17700.0,17700.0
Pool,Monsalve,David,GK,33000.0,33000.0
FC Dallas,Moor,Drew,D,132000.0,149188.89
Real Salt Lake,Morales,Javier,M,240000.0,240000.0
Columbus Crew,Moreno,Alejandro,F,126000.0,131000.0
DC United,Moreno,Jaime,F,275000.0,275000.0
Sporting Kansas City,Morsink,Kurt,M,33000.0,33000.0
Real Salt Lake,Movsisyan,Yura,F,47575.0,57575.0
Houston Dynamo,Mullan,Brian,M,156240.0,165552.5
Houston Dynamo,Mulrooney,Richard,M,157500.0,157500.0
LA Galaxy,Munoz,Mike,M,12900.0,12900.0
Sporting Kansas City,Myers,Chance,D,70000.0,130000.0
CHV,Nagamura,Paulo,M,93712.5,93712.5
DC United,Namoff,Bryan,D,95000.0,98750.0
Real Salt Lake,Nimo,Alex,M,45000.0,78000.0
Chicago Fire,Noble,Nick,GK,17700.0,17700.0
Columbus Crew,Noonan,Pat,F,175008.0,175008.0
Real Salt Lake,Nunez,Tino,F,17700.0,17700.0
CHV,Nurse,Roberto,F,12900.0,12900.0
Chicago Fire,Nyarko,Patrick,F,55000.0,135000.0
New England Revolution,Nyassi,Sainey,M,33000.0,33000.0
Seattle Sounders FC,Nyassi,Sanna,M,33000.0,33000.0
Columbus Crew,Nyazamba,Stanley,F,12900.0,12900.0
Colorado Rapids,O'Brien,Ciaran,M,45000.0,78750.0
San Jose Earthquakes,O'Brien,Ronnie,M,240000.0,258750.0
FC Dallas,Oduro,Dominic,F,33000.0,33000.0
Real Salt Lake,Olave,Jamison,D,80000.0,80000.0
DC United,Olsen,Ben,M,215000.0,215000.0
Houston Dynamo,Onstad,Pat,GK,173000.0,173000.0
Columbus Crew,O'Rourke,Danny,D,59147.81,69147.81
Columbus Crew,Oughton,Duncan,D,75600.0,75600.0
Columbus Crew,Padula,Gino,D,120000.0,145000.0
New York Red Bulls,Palacio,Mike,M,12900.0,12900.0
CHV,Paladini,Daniel,M,12900.0,12900.0
Chicago Fire,Pappa,Marco,M,33000.0,33000.0
Sporting Kansas City,Pardo,Boris,GK,12900.0,12900.0
New York Red Bulls,Parke,Jeff,D,57487.5,58737.5
CHV,Parker,Lance,GK,12900.0,12900.0
