club,last_name,first_name,position,base_salary,guaranteed_compensation
Philadelphia Union,Adu,Freddy,M,400000.0,519000.0
CHV,Agudelo,Juan,F,70000.0,100000.0
Sporting Kansas City,Aiyegbusi,Olukorede,D,44100.0,44100.0
Colorado Rapids,Akpan,Andre,F,57200.0,57200.0
Philadelphia Union,Albright,Chris,D,55000.0,55000.0
Vancouver Whitecaps,Alderson,Bryce,M,60000.0,75000.0
Chicago Fire,Alex,,M,96000.0,105950.0
Portland Timbers,Alexander,Eric,M,56925.0,56925.0
San Jose Earthquakes,Alexandre,Jean,M,44100.0,44100.0
Portland Timbers,Alhassan,Kalif,M,70000.0,79250.0
Seattle Sounders FC,Alonso,Osvaldo,M,185000.0,185000.0
New England Revolution,Alston,Kevin,D,120000.0,169000.0
Real Salt Lake,Alvarez,Yordany,M,44100.0,44100.0
Toronto FC,Amarikwa,Quincy,F,44100.0,44100.0
San Jose Earthquakes,Ampaipitakwong,Anthony,M,44000.0,44000.0
CHV,Angel,Juan Pablo,F,350000.0,600000.0
POOL,Angevine,Scott,GK,33756.0,33756.0
New York Red Bulls,Angulo,Jose,F,33750.0,33750.0
Chicago Fire,Anibaba,Jalil,D,65450.0,105450.0
Columbus Crew,Anor,Bernardo,M,44100.0,44100.0
Real Salt Lake,Araujo Jr.,Paulo,F,65000.0,65000.0
Montreal Impact,Arguez,Bryan,D/M,65000.0,65000.0
Colorado Rapids,Armstrong,David,M,44100.0,53564.29
Montreal Impact,Arnaud,Davy,M,275000.0,290000.0
Columbus Crew,Arrieta,Jairo,F,216000.0,225375.0
New York Red Bulls,Arteaga,Jhonny,F,44000.0,44000.0
Houston Dynamo,Ashe,Corey,M,90000.0,94500.0
DC United,Augusto,Raphael,M,44004.0,44004.0
Toronto FC,Avila,Eric,M,125000.0,158000.0
San Jose Earthquakes,Baca,Rafael,M,44000.0,44000.0
Columbus Crew,Balchan,Rich,D,51700.0,68575.0
San Jose Earthquakes,Ballouchy,Mehdi,M,138188.0,138188.0
Vancouver Whitecaps,Barbara,Etienne,F,87500.0,87500.0
New York Red Bulls,Barklage,Brandon,M,44000.0,45566.67
New England Revolution,Barnes,Darrius,D,68063.0,69313.0
Houston Dynamo,Barnes,Giles,M,120000.0,132750.0
Chicago Fire,Barouch,Orr,F,44000.0,44000.0
LA Galaxy,Barrett,Chad,F,220000.0,253333.33
Real Salt Lake,Beckerman,Kyle,M,300000.0,311250.0
LA Galaxy,Beckham,David,M,3000000.0,3999999.96
San Jose Earthquakes,Beitashour,Steven,D,44100.0,44100.0
Real Salt Lake,Beltran,Anthony,D,125000.0,160500.0
Portland Timbers,Bendik,Joe,GK,44000.0,44000.0
New England Revolution,Bengston,Jerry,F,120000.0,126840.0
FC Dallas,Benitez,Jair,D,80000.0,80000.0
San Jose Earthquakes,Bernardez,Victor,D,100000.0,100000.0
Montreal Impact,Bernier,Patrice,F-M,130000.0,149333.25
Chicago Fire,Berry,Austin,D,44000.0,59000.0
Sporting Kansas City,Besler,Matt,D,91751.0,103001.0
San Jose Earthquakes,Bingham,David,GK,71000.0,115375.0
Columbus Crew,Birchall,Chris,M,102000.0,109000.0
CHV,Bolanos,Miller,M,48000.0,48000.0
